Frame, gk2_x, gk2_y
0,1555.5,405.5
2,1592.0,394.5
5,1637.0,383.0
6,1646.5,382.0
8,1670.5,370.0
9,1676.5,367.0
11,1683.0,358.0
12,1682.5,356.5
13,1684.0,353.0
14,1686.5,351.5
15,1687.0,347.0
16,1692.5,345.0
17,1694.0,345.0
18,1691.0,346.0
19,1687.0,343.5
20,1686.0,339.5
21,1684.0,340.5
22,1682.5,341.0
23,1680.0,342.5
24,1674.0,343.5
25,1671.5,342.0
26,1671.0,341.5
27,1670.5,345.0
28,1679.0,348.5
29,1697.5,359.0
30,1734.5,370.0
31,1777.5,378.0
32,1818.0,386.5
33,1859.5,396.0
34,1896.5,405.5
35,923.5,402.0
141,None,None
143,None,None
144,None,None
145,None,None
146,None,None
147,None,None
148,None,None
149,None,None
150,None,None
151,None,None
152,None,None
153,None,None
154,None,None
155,None,None
156,None,None
157,None,None
