frame_index,id_13_team_0,id_10_team_0,id_2_team_0,id_4_team_0,id_16_team_0,id_281_team_0,id_5_team_0,id_1_team_0,id_45_team_0,id_20_team_0,id_17_team_0,id_22_team_1,id_14_team_1,id_11_team_1,id_3_team_1,id_9_team_1,id_6_team_1,id_12_team_1,id_8_team_1,id_15_team_1,id_7_team_1,id_18_team_1,ball
10,"6653.51,3776.28","6395.1,2602.67","5755.93,4506.39","4368.83,4093.96","4193.86,2764.22","9375.74,3115.76","6347.66,5226.05","4355.9,5630.96","5519.75,1824.08","2530.9,1512.24","5568.62,2487.09","588.56,2624.54","1184.18,2392.61","2183.02,4963.81","3741.29,5702.93","2631.5,1147.55","3877.35,4228.79","4174.41,2850.12","5532.78,4568.69","5909.93,2006.51","6172.09,6034.45","6494.32,3774.37","891.8,3150.3"
11,"6668.67,3805.57","6402.95,2579.27","5754.07,4520.84","4332.5,4121.91","4219.31,2796.43","9375.74,3115.76","6366.93,5257.95","4352.0,5631.14","5519.75,1824.08","2547.64,1498.23","5568.61,2518.81","577.92,2639.95","1172.1,2388.9","2163.2,5004.89","3743.47,5713.64","2651.9,1152.26","3840.81,4245.52","4190.88,2855.14","5544.15,4579.58","5933.95,1969.08","6169.38,6072.52","6507.17,3784.3","1049.86,3399.53"
12,"6674.17,3798.71","6401.55,2561.53","5767.73,4514.62","4313.81,4116.32","4244.76,2828.65","9375.74,3115.76","6375.94,5276.16","4366.79,5629.61","5519.75,1824.08","2576.43,1536.02","5564.0,2531.61","595.37,2660.3","1186.71,2389.92","2151.43,4995.08","3764.56,5719.54","2683.43,1169.46","3830.15,4250.05","4227.96,2847.26","5558.75,4556.74","5943.95,1931.51","6178.77,6071.06","6517.49,3737.02","1215.26,3614.32"
13,"6641.7,3754.83","6369.47,2542.27","5745.89,4463.19","4306.04,4110.15","4270.21,2860.86","9375.74,3115.76","6345.31,5182.86","4403.93,5536.61","5519.75,1824.08","2629.36,1665.28","5545.21,2572.69","724.8,2851.43","1268.32,2491.6","2239.19,4999.95","3823.78,5667.21","2730.58,1282.23","3838.88,4227.44","4271.09,2900.0","5565.52,4477.53","5948.36,1974.81","6152.35,5930.59","6481.29,3691.44","1439.74,3849.26"
14,"6649.12,3749.08","6374.38,2537.84","5766.08,4438.78","4281.79,4115.32","4295.66,2893.08","9375.74,3115.76","6359.43,5169.18","4422.39,5536.69","5519.75,1824.08","2661.46,1679.91","5541.68,2585.24","746.95,2849.72","1291.58,2489.07","2241.61,4981.79","3844.48,5667.54","2765.46,1275.77","3818.65,4221.8","4305.96,2919.18","5579.23,4463.08","5963.79,1937.04","6164.08,5936.72","6484.5,3667.7","1580.91,3992.37"
15,"6659.15,3749.19","6388.46,2470.29","5788.12,4422.04","4264.36,4139.86","4321.11,2925.29","9375.74,3115.76","6378.31,5191.46","4437.8,5535.15","5519.75,1824.08","2683.48,1751.52","5542.23,2632.43","780.83,2935.45","1296.89,2508.17","2242.68,4987.79","3852.18,5676.16","2790.64,1285.44","3789.44,4219.67","4321.11,2925.29","5592.01,4449.17","5975.58,1890.46","6173.67,5969.33","6481.85,3652.12","1707.8,4159.2"
16,"6668.57,3746.99","6392.58,2450.9","5792.71,4430.28","4209.14,4153.99","4340.96,2946.05","9375.74,3115.76","6390.74,5208.93","4450.87,5539.18","5519.75,1824.08","2688.88,1766.49","5539.53,2642.97","802.6,2984.61","1321.3,2521.38","2231.57,4962.13","3849.42,5684.05","2803.4,1298.94","3745.16,4188.94","4340.96,2946.05","5606.74,4421.45","5992.23,1863.14","6184.72,5974.35","6481.8,3642.14","1797.02,4273.1"
17,"6661.13,3755.63","6376.56,2465.93","5789.28,4425.2","4171.39,4160.97","4346.52,2946.47","9375.74,3115.76","6388.27,5224.14","4446.32,5543.48","5519.75,1824.08","2706.54,1783.59","5515.83,2669.67","811.31,3022.36","1330.0,2511.03","2240.19,4949.07","3837.36,5694.99","2828.0,1319.64","3704.23,4184.39","4346.52,2946.47","5605.83,4389.78","5994.09,1843.58","6181.96,5977.17","6473.66,3640.92","1856.03,4354.0"
18,"6639.27,3743.02","6356.89,2413.75","5801.28,4413.94","4164.28,4171.47","4366.35,2970.44","9375.74,3115.76","6392.74,5220.84","4461.57,5527.28","5519.75,1824.08","2730.77,1804.49","5500.04,2686.12","830.65,3059.38","1364.23,2528.67","2255.65,4938.69","3845.0,5696.08","2860.96,1341.37","3699.75,4185.39","4366.35,2970.44","5609.73,4364.66","5990.57,1813.23","6176.77,5998.1","6451.1,3629.14","1940.26,4441.65"
19,"6643.37,3752.18","6359.81,2393.1","5822.63,4417.8","4137.2,4183.58","4380.82,2986.0","9375.74,3115.76","6408.77,5252.8","4486.6,5521.77","5519.75,1824.08","2745.84,1826.5","5491.75,2694.69","843.46,3093.04","1392.62,2526.24","2262.5,4928.98","3836.76,5704.46","2876.73,1344.49","3648.34,4160.07","4380.82,2986.0","5620.33,4345.25","6015.69,1814.3","6188.29,6009.92","6450.97,3638.7","2001.54,4517.71"
20,"6631.25,3761.09","6356.54,2425.46","5831.48,4425.36","4120.26,4202.6","4394.5,3005.01","9375.74,3115.76","6404.23,5279.03","4500.78,5525.25","5519.75,1824.08","2769.07,1882.73","5478.19,2752.15","858.07,3133.34","1420.09,2534.51","2270.78,4922.37","3820.77,5713.17","2895.49,1343.52","3621.39,4169.58","4394.5,3005.01","5618.91,4363.52","6032.74,1811.61","6187.29,6013.48","6445.35,3664.71","2059.42,4586.27"
21,"6628.8,3761.32","6334.58,2411.02","5834.54,4426.52","4106.53,4219.02","4411.73,3013.8","9375.74,3115.76","6410.8,5280.61","4509.78,5527.06","5519.75,1824.08","2802.29,1950.7","5474.13,2803.66","905.51,3227.8","1461.36,2546.6","2300.03,4930.48","3828.69,5754.2","2933.09,1373.43","3587.6,4148.97","4411.73,3013.8","5620.12,4330.99","6041.35,1751.77","6194.24,6041.17","6450.38,3662.85","2117.29,4654.84"
22,"6624.41,3756.32","6344.53,2402.85","5839.24,4411.53","4082.98,4250.83","4429.03,3044.81","9375.74,3115.76","6409.46,5313.4","4532.65,5523.24","5519.75,1824.08","2798.58,1942.46","5468.75,2785.78","924.51,3313.68","1470.12,2554.01","2297.13,4928.36","3810.06,5756.09","2937.39,1362.15","3539.18,4134.87","4429.03,3044.81","5621.16,4290.81","6051.45,1743.24","6202.54,6044.24","6452.61,3666.11","2175.17,4723.4"
23,"6615.72,3757.46","6351.72,2386.09","5845.48,4400.2","4062.74,4263.36","4455.3,3064.58","9375.74,3115.76","6412.12,5334.8","4555.52,5520.34","5519.75,1824.08","2832.36,2015.01","5467.23,2811.72","957.8,3355.58","1517.25,2565.56","2307.52,4931.21","3792.8,5756.46","2960.83,1383.8","3494.63,4099.6","4455.3,3064.58","5620.91,4280.43","6063.53,1723.38","6225.95,6046.4","6452.27,3664.98","2233.05,4791.96"
24,"6599.76,3777.46","6355.2,2369.42","5842.12,4394.88","4055.48,4270.81","4481.57,3086.08","9375.74,3115.76","6413.84,5336.29","4557.54,5515.35","5519.75,1824.08","2839.74,2030.2","5460.99,2845.77","946.61,3373.74","1543.19,2567.27","2304.33,4929.01","3772.96,5760.73","2989.43,1400.87","3436.58,4107.36","4481.57,3086.08","5613.12,4257.78","6071.01,1703.06","6235.01,6065.35","6445.76,3702.09","2290.92,4860.53"
25,"6597.66,3775.99","6374.61,2385.36","5841.15,4401.37","4055.55,4294.67","4488.74,3115.44","9375.74,3115.76","6416.27,5358.83","4569.67,5516.13","5519.75,1824.08","2855.81,2066.57","5458.0,2852.07","975.16,3430.5","1564.92,2563.88","2307.76,4939.26","3769.86,5776.91","3007.62,1399.24","3383.46,4079.14","4488.74,3115.44","5606.58,4221.33","6105.56,1701.11","6239.02,6090.79","6452.16,3726.8","2348.8,4929.09"
