4,17,1096.00,305.00,18.00,54.00,1,-1,-1,-1
4,9,876.00,361.00,29.00,62.00,1,-1,-1,-1
4,7,858.00,637.00,47.00,87.00,1,-1,-1,-1
4,10,1230.00,431.00,35.00,71.00,1,-1,-1,-1
4,15,1165.00,354.00,27.00,58.00,1,-1,-1,-1
4,12,360.00,723.00,34.00,103.00,1,-1,-1,-1
4,11,777.00,368.00,24.00,60.00,1,-1,-1,-1
4,8,1576.00,612.00,39.00,83.00,1,-1,-1,-1
4,13,330.00,495.00,38.00,74.00,1,-1,-1,-1
4,14,224.00,514.00,32.00,80.00,1,-1,-1,-1
4,19,775.00,417.00,29.00,72.00,1,-1,-1,-1
4,20,1854.00,808.00,39.00,111.00,1,-1,-1,-1
4,22,950.00,224.00,20.00,50.00,1,-1,-1,-1
4,23,1903.00,377.00,17.00,65.00,1,-1,-1,-1
4,21,311.00,225.00,18.00,48.00,1,-1,-1,-1
4,28,1194.00,855.00,15.00,16.00,1,-1,-1,-1
4,24,1903.00,377.00,17.00,65.00,1,-1,-1,-1
4,27,1896.00,238.00,22.00,51.00,1,-1,-1,-1
4,26,1896.00,238.00,22.00,50.00,1,-1,-1,-1
5,1,998.00,456.00,31.00,71.00,1,-1,-1,-1
5,4,602.00,593.00,38.00,80.00,1,-1,-1,-1
5,5,1311.00,449.00,48.00,68.00,1,-1,-1,-1
5,2,536.00,690.00,44.00,95.00,1,-1,-1,-1
5,16,1371.00,814.00,63.00,93.00,1,-1,-1,-1
5,3,1279.00,393.00,33.00,70.00,1,-1,-1,-1
5,17,1097.00,307.00,18.00,52.00,1,-1,-1,-1
5,9,879.00,362.00,28.00,62.00,1,-1,-1,-1
5,6,374.00,307.00,27.00,59.00,1,-1,-1,-1
5,12,360.00,726.00,35.00,102.00,1,-1,-1,-1
5,15,1171.00,354.00,24.00,58.00,1,-1,-1,-1
5,8,1580.00,613.00,38.00,87.00,1,-1,-1,-1
5,10,1232.00,431.00,34.00,71.00,1,-1,-1,-1
5,7,868.00,637.00,41.00,88.00,1,-1,-1,-1
