frame,ball_x,ball_y,id_10_team_0_x,id_10_team_0_y,id_11_team_1_x,id_11_team_1_y,id_12_team_1_x,id_12_team_1_y,id_13_team_0_x,id_13_team_0_y,id_14_team_1_x,id_14_team_1_y,id_15_team_1_x,id_15_team_1_y,id_16_team_0_x,id_16_team_0_y,id_17_team_0_x,id_17_team_0_y,id_18_team_1_x,id_18_team_1_y,id_1_team_0_x,id_1_team_0_y,id_20_team_0_x,id_20_team_0_y,id_22_team_1_x,id_22_team_1_y,id_281_team_0_x,id_281_team_0_y,id_2_team_0_x,id_2_team_0_y,id_3_team_1_x,id_3_team_1_y,id_45_team_0_x,id_45_team_0_y,id_4_team_0_x,id_4_team_0_y,id_5_team_0_x,id_5_team_0_y,id_6_team_1_x,id_6_team_1_y,id_7_team_1_x,id_7_team_1_y,id_8_team_1_x,id_8_team_1_y,id_9_team_1_x,id_9_team_1_y
446,3055.8132,5011.3037,7531.7183,2794.9016,4712.3184,5171.0674,7722.5537,5743.046,7472.0195,4092.9302,4516.4136,2044.3413,7481.1406,998.3558,6499.1753,4560.663,5446.6313,5618.255,7878.446,3379.0686,6627.6655,6195.0366,5645.4355,3822.0066,2733.8696,4667.0156,10271.678,3601.1516,7682.429,4963.6206,4956.902,6196.833,7516.2617,2657.8796,6426.496,5244.404,7710.7227,5907.998,5905.685,5206.3877,8101.975,5479.491,7263.271,6233.5117,6387.867,2164.9187
447,3024.3647,4982.4253,7496.3857,2777.3333,4680.6636,5171.0254,7687.798,5716.8735,7445.7437,4081.1147,4474.55,2040.9962,7448.9443,980.7704,6471.9614,4544.3833,5437.399,5594.8623,7853.6265,3387.0933,6607.7075,6179.2676,5626.0146,3806.2517,2713.5588,4658.0337,10256.713,3593.0522,7655.513,4953.285,4939.17,6193.6836,7489.511,2653.1992,6393.3896,5223.6685,7686.3022,5892.7324,5865.666,5183.441,8076.423,5482.921,7244.3364,6206.711,6353.9883,2150.9294
448,2996.566,4954.4243,7463.0737,2760.4233,4650.455,5170.886,7654.5693,5691.3447,7421.18,4069.689,4434.6465,2037.9686,7418.6323,964.4204,6446.265,4528.532,5428.7686,5572.224,7829.8286,3395.126,6589.2563,6163.8784,5607.7456,3790.5332,2693.9778,4649.43,10242.326,3585.3638,7629.9663,4943.247,4922.886,6190.8306,7463.784,2648.3618,6362.06,5203.463,7663.4126,5877.9326,5828.019,5160.7603,8052.19,5486.17,7226.143,6180.8433,6321.264,2137.3484
449,2972.227,4927.274,7431.6865,2744.1465,4621.6104,5170.642,7622.804,5666.4653,7398.2686,4058.6335,4396.6455,2035.2544,7390.103,949.2552,6422.0225,4513.0503,5420.743,5550.347,7806.9863,3403.1143,6572.183,6148.8716,5590.6196,3774.89,2675.1125,4641.1636,10228.433,3578.036,7605.716,4933.465,4907.9473,6188.2085,7439.07,2643.3767,6332.4355,5183.738,7641.99,5863.562,5792.65,5138.3413,8029.2383,5489.1807,7208.702,6155.847,6289.6777,2124.1614
450,2950.9885,4900.7495,7401.8813,2728.4158,4594.0137,5170.2393,7592.8594,5642.37,7377.0303,4047.839,4360.4507,2032.8008,7363.2285,934.91364,6399.3027,4497.994,5413.645,5528.8223,7785.324,3410.9673,6556.6206,6134.311,5574.9473,3759.392,2657.0151,4633.2603,10215.3545,3571.003,7582.9097,4924.0527,4894.34,6185.665,7415.736,2638.4827,6304.715,5164.6685,7621.986,5849.6875,5759.216,5116.3247,8007.506,5492.16,7191.9053,6131.689,6259.338,2111.4766
451,2933.1687,4875.176,7374.1797,2713.3752,4567.727,5169.6978,7563.833,5618.726,7357.263,4037.5688,4326.144,2030.6886,7338.0728,922.0344,6377.85,4483.126,5406.8774,5508.346,7764.3687,3418.7947,6542.0,6120.0513,5560.05,3743.877,2639.411,4625.5605,10202.39,3564.2976,7561.0947,4914.6797,4881.951,6183.4023,7393.02,2633.234,6278.2725,5145.838,7603.3135,5836.1406,5728.115,5094.3945,7986.9355,5494.706,7175.9824,6108.2344,6230.04,2099.059
452,2918.3318,4850.386,7348.196,2698.9397,4542.6475,5169.0044,7536.0728,5595.714,7338.96,4027.6985,4293.5913,2028.8628,7314.499,910.24225,6357.6973,4468.5146,5400.701,5488.5522,7744.309,3426.5034,6528.462,6106.1646,5546.193,3728.4663,2622.3982,4618.105,10189.846,3557.8735,7540.412,4905.475,4870.7007,6181.2603,7371.263,2627.876,6253.3096,5127.4272,7585.9185,5822.995,5699.0024,5072.7275,7967.491,5496.9995,7160.772,6085.4985,6201.8457,2087.0188
453,2906.3699,4826.363,7323.858,2685.0786,4518.7153,5168.157,7509.554,5573.32,7322.075,4018.2144,4262.747,2027.3179,7292.4473,899.48315,6338.8154,4454.1416,5395.14,5469.4077,7725.131,3434.0798,6515.9688,6092.645,5533.37,3713.1726,2605.9424,4610.873,10177.71,3551.6992,7520.839,4896.4272,4860.5454,6179.2275,7350.4736,2622.4326,6229.769,5109.4297,7569.7603,5810.2437,5671.7925,5051.3247,7949.132,5499.0483,7146.277,6063.447,6174.7373,2075.3474
454,2897.19,4803.1187,7301.128,2671.8462,4495.942,5167.0957,7484.131,5551.488,7306.508,4009.1887,4233.5415,2026.0067,7271.9165,889.76874,6321.1353,4440.0317,5390.15,5450.7266,7706.896,3441.5564,6504.5,6079.453,5521.4653,3697.884,2589.905,4603.832,10166.085,3545.7812,7502.363,4887.5205,4851.5576,6177.282,7330.585,2616.949,6207.577,5091.887,7554.7485,5797.918,5646.3394,5030.169,7931.7026,5501.014,7132.4194,6041.9907,6148.7104,2064.0981
455,2890.64,4780.616,7279.916,2659.1575,4474.243,5165.86,7459.8813,5530.258,7292.2554,4000.538,4205.9478,2024.9551,7252.797,880.99786,6304.664,4426.135,5385.7725,5432.6206,7689.5205,3448.875,6493.9893,6066.6,5510.5464,3682.7278,2574.3726,4596.9785,10154.856,3540.0725,7484.9453,4878.759,4843.5884,6175.4126,7311.6543,2611.4297,6186.7207,5074.7617,7540.8633,5785.9697,5622.637,5009.2905,7915.2764,5502.762,7119.2607,6021.1636,6123.739,2053.2224
