ball_x,ball_y,id_1_x,id_1_y,id_2_x,id_2_y,id_3_x,id_3_y,id_4_x,id_4_y,id_5_x,id_5_y,id_7_x,id_7_y,id_8_x,id_8_y,id_9_x,id_9_y,id_10_x,id_10_y,id_12_x,id_12_y,id_13_x,id_13_y,id_14_x,id_14_y,id_15_x,id_15_y,id_16_x,id_16_y,id_19_x,id_19_y
5770.239,6459.11,7275.9165,4760.069,6049.8853,6099.26,8455.813,4043.7236,6557.8438,5929.7173,8368.029,4927.172,6903.49,6055.424,7793.236,6322.0728,7402.781,3433.8308,8164.285,4384.865,5363.319,6337.2705,5751.3794,4599.686,5316.446,4662.0884,8377.596,3380.2322,6314.015,6705.705,6865.353,4049.7898
5639.196,6379.409,7241.362,4737.812,5988.676,6107.1553,8442.872,4038.0872,6546.948,5898.8335,8335.953,4929.675,6892.476,6040.543,7754.0728,6280.5137,7389.9297,3444.243,8148.8394,4361.6865,5351.925,6338.777,5733.982,4603.91,5278.506,4647.252,8369.32,3378.1196,6266.267,6684.8955,6840.4414,4044.7388
5524.8916,6308.6904,7207.956,4710.081,5937.6416,6114.195,8429.192,4032.535,6534.8506,5861.0825,8303.908,4931.8765,6881.026,6022.8257,7713.6,6248.6797,7375.152,3448.5212,8134.2705,4338.951,5347.61,6338.7476,5717.028,4605.5757,5243.0024,4631.612,8364.486,3376.4438,6208.2017,6665.0933,6817.2637,4037.9087
5418.014,6249.8096,7177.5435,4682.9717,5894.9336,6119.222,8415.84,4027.4236,6520.806,5824.64,8277.458,4932.384,6870.6426,6007.0127,7668.1694,6221.679,7361.823,3443.3018,8121.174,4320.667,5344.9106,6336.7007,5700.7886,4606.594,5213.8926,4619.108,8360.722,3372.9968,6149.535,6648.256,6797.8994,4029.534
