frame,id_1_team_0_x,id_1_team_0_y,id_2_team_0_x,id_2_team_0_y,id_4_team_0_x,id_4_team_0_y,id_5_team_0_x,id_5_team_0_y,id_10_team_0_x,id_10_team_0_y,id_13_team_0_x,id_13_team_0_y,id_16_team_0_x,id_16_team_0_y,id_17_team_0_x,id_17_team_0_y,id_20_team_0_x,id_20_team_0_y,id_45_team_0_x,id_45_team_0_y,id_281_team_0_x,id_281_team_0_y,id_3_team_1_x,id_3_team_1_y,id_6_team_1_x,id_6_team_1_y,id_7_team_1_x,id_7_team_1_y,id_8_team_1_x,id_8_team_1_y,id_9_team_1_x,id_9_team_1_y,id_11_team_1_x,id_11_team_1_y,id_12_team_1_x,id_12_team_1_y,id_14_team_1_x,id_14_team_1_y,id_15_team_1_x,id_15_team_1_y,id_18_team_1_x,id_18_team_1_y,id_22_team_1_x,id_22_team_1_y,ball_x,ball_y
446,2287.6978,3081.9324,6671.475,2569.0535,5005.636,5168.2305,5979.2114,5159.44,7032.6934,4057.9136,3424.2502,1412.2329,7331.933,654.6114,5188.175,4270.136,4066.6912,5693.099,6774.7188,3863.979,6063.498,5651.9946,4807.364,3921.9812,2248.9402,4782.7744,9485.095,3543.1428,6878.6973,4535.6006,4512.477,6786.6587,6638.2056,1994.664,5412.116,4539.1055,7181.3735,5588.7896,5630.5654,4439.371,7665.1475,6018.4033,6250.836,5609.857,5498.4316,1578.558
447,2164.9458,2894.3262,6528.46,2503.6006,4940.139,5188.8887,5810.3374,5048.7476,6926.7456,4000.7092,3240.358,1373.0134,7239.8184,582.5992,5062.189,4193.1846,3971.746,5625.8374,6585.0947,3922.379,5993.405,5561.3237,4744.7275,3875.0762,2144.506,4770.8916,9385.223,3522.3071,6759.394,4467.5386,4443.9004,6812.829,6522.2417,1952.7931,5285.8413,4416.8496,7122.5884,5530.7734,5534.261,4321.2837,7570.2563,6024.058,6149.4087,5509.184,5371.1895,1498.4396
448,2055.0479,2705.6135,6388.3496,2435.1365,4870.174,5209.9116,5648.153,4936.765,6821.919,3941.9326,3058.9812,1335.9805,7146.4907,511.85236,4942.784,4110.433,3881.478,5558.022,6397.0396,3981.7673,5925.9946,5469.3657,4688.106,3823.1433,2039.8312,4756.881,9284.644,3500.9587,6641.3247,4397.6987,4380.928,6836.405,6408.147,1911.654,5163.492,4291.212,7066.0967,5471.113,5440.2695,4197.079,7476.6997,6025.074,6048.81,5406.168,5242.6157,1417.9363
449,1959.8375,2517.1829,6252.6895,2363.5203,4797.728,5231.364,5494.285,4825.201,6720.1616,3881.8635,2881.392,1301.5125,7052.5034,442.65518,4831.106,4022.5308,3796.1191,5490.3813,6212.0176,4041.4875,5861.614,5376.458,4637.5176,3766.6245,1935.5814,4740.4575,9185.076,3479.4507,6525.422,4326.429,4324.474,6857.5454,6295.2954,1871.1425,5045.024,4163.1865,7011.1304,5410.3774,5349.6763,4067.179,7385.0605,6021.7314,5950.167,5301.377,5114.036,1337.7694
450,1880.4352,2330.62,6122.9194,2289.0305,4723.6406,5252.7544,5350.219,4715.196,6622.337,3821.053,2709.2961,1269.8389,6958.886,375.72955,4728.1074,3929.7654,3716.273,5423.521,6031.905,4100.831,5800.3813,5283.053,4592.8706,3705.5842,1832.9377,4721.684,9087.646,3458.0366,6412.6787,4254.1323,4275.4,6875.8833,6183.971,1831.3131,4931.021,4033.8416,6957.481,5349.076,5263.3022,3932.355,7295.809,6014.105,5854.373,5195.591,4986.235,1258.5116
451,1817.593,2147.5176,6000.583,2212.0203,4648.579,5273.5776,5217.089,4607.8145,6529.146,3760.0024,2544.448,1241.1819,6866.62,311.75183,4634.621,3832.5444,3642.45,5357.918,5858.695,4158.9946,5742.47,5189.8223,4554.2207,3640.3618,1732.8634,4700.6196,8993.301,3436.837,6303.956,4181.234,4234.3135,6890.9126,6074.6875,1792.2881,4822.228,3904.323,6905.214,5287.734,5182.1006,3793.529,7209.549,6002.239,5762.1587,5089.644,4860.259,1180.7557
452,1771.8298,1969.4248,5887.2036,2132.9426,4573.1265,5293.3286,5095.6606,4503.8877,6441.1924,3699.1665,2388.4573,1215.7056,6776.736,251.39073,4551.278,3731.4148,3575.2024,5293.9224,5694.1567,4215.2373,5688.078,5097.479,4521.5522,3571.3652,1636.14,4677.4062,8902.908,3415.9253,6200.0947,4108.217,4201.5933,6902.228,5967.999,1754.185,4719.3467,3775.8123,6854.4194,5226.9004,5106.8506,3651.657,7126.849,5986.35,5674.185,4984.3325,4737.1504,1105.0284
453,1743.4371,1797.7339,5784.158,2052.3416,4497.8564,5311.491,4986.321,4404.0425,6358.9814,3638.9666,2242.7712,1193.497,6690.318,195.29132,4478.4604,3627.0466,3515.0112,5231.74,5539.7954,4268.9155,5637.437,5006.7227,4494.814,3499.0642,1543.3531,4652.264,8817.183,3395.324,6101.8486,4035.564,4177.415,6909.527,5864.465,1717.0801,4622.992,3649.4548,6805.2573,5167.1265,5038.2363,3507.7095,7048.245,5966.7705,5591.0054,4880.407,4617.9155,1031.7871
454,1732.5095,1633.6466,5692.6167,1970.8298,4423.3154,5327.5815,4889.1113,4308.694,6282.9014,3579.7852,2108.5994,1174.5656,6608.4453,144.07353,4416.329,3520.1921,3462.2874,5171.4854,5396.809,4319.5127,5590.813,4918.192,4473.9185,3423.9548,1454.9058,4625.4795,8736.701,3375.0122,6009.8804,3963.7446,4161.7734,6912.645,5764.6436,1681.0017,4533.6646,3526.3079,6757.926,5108.956,4976.8184,3362.6243,6974.1963,5943.9277,5513.0396,4778.5405,4503.4546,961.3952
455,1738.9791,1478.1024,5613.4883,1889.0773,4350.061,5341.157,4803.7334,4218.074,6213.263,3521.96,1986.8973,1158.8298,6532.18,98.29994,4364.8174,3411.67,3417.3052,5113.1772,5266.0557,4366.6504,5548.505,4832.4507,4458.7627,3346.529,1371.0521,4597.385,8661.874,3354.9478,5924.743,3893.185,4154.5034,6911.5337,5669.0513,1645.9109,4451.7227,3407.3098,6712.639,5052.8926,4923.0625,3217.2808,6905.095,5918.331,5440.5625,4679.3154,4394.559,894.1235
