frame_index,balls
0,"651.79,2621.49"
1,"651.07,2633.79"
2,"670.71,2679.48"
3,"659.52,2720.15"
4,
5,
6,
7,
8,
9,"738.47,2899.99;4241.00,2899.54"
10,
11,"1051.99,3399.05"
12,"1216.46,3619.24;4288.03,2966.32"
13,"1431.42,3848.85"
14,"1575.22,3992.06"
15,"1705.24,4154.48"
16,"1796.24,4273.29;4402.26,3046.51"
17,"1855.97,4353.95"
18,"1936.62,4438.73"
19,"2001.99,4516.58"
20,
21,
22,
23,
24,
25,"2351.21,4938.53"
26,
27,
28,
29,
30,"2455.67,5069.39"
31,"2448.75,5054.12"
32,
